office	post_id	state	date	action	url	cls
Savannah	5235796075478267892	LIVE	2026-08-23	LEARN_MORE	https://rodenlaw.com/es/blog/kemira-plant-drive-savannah-fatal-truck-accident-lawyer/	STALE-generic
Savannah	5397558668174304549	LIVE	2026-08-20	LEARN_MORE	https://rodenlaw.com/blog/kemira-plant-drive-savannah-fatal-truck-accident-lawyer/	STALE-generic
Savannah	3993177603323064107	LIVE	2026-08-13	LEARN_MORE	https://rodenlaw.com/es/blog/old-fort-jackson-savannah-fatal-truck-accident-lawyer/	ok
Savannah	1497303968365892129	LIVE	2026-08-10	LEARN_MORE	https://rodenlaw.com/blog/old-fort-jackson-savannah-fatal-truck-accident-lawyer/	ok
Savannah	3867392713569267304	LIVE	2026-07-28	LEARN_MORE	https://rodenlaw.com/blog/can-you-sue-hospital-negligence/	ok
Savannah	2889296310199734660	LIVE	2026-07-26	LEARN_MORE	https://rodenlaw.com/es/blog/eastern-wharf-harbor-street-electric-scooter-accident-lawyer/	ok
Savannah	8643451617778495564	LIVE	2026-07-23	LEARN_MORE	https://rodenlaw.com/blog/eastern-wharf-harbor-street-electric-scooter-accident-lawyer/	ok
Savannah	3992396645899330962	LIVE	2026-07-20	LEARN_MORE	https://rodenlaw.com/es/blog/east-bay-street-savannah-pedestrian-accident-lawyer/	STALE-generic
Savannah	1909907983524228566	LIVE	2026-07-17	LEARN_MORE	https://rodenlaw.com/blog/east-bay-street-savannah-pedestrian-accident-lawyer/	ok
Savannah	5020139181721958509	LIVE	2026-07-14	LEARN_MORE	https://rodenlaw.com/es/blog/southover-mills-b-lane-motorcycle-accident-lawyer/	STALE-generic
Savannah	2896796436851428455	LIVE	2026-07-11	LEARN_MORE	https://rodenlaw.com/es/blog/garden-city-ga-21-augusta-road-car-accident-lawyer/	STALE-generic
Savannah	4057731837263023233	LIVE	2026-07-09	LEARN_MORE	https://rodenlaw.com/blog/garden-city-ga-21-augusta-road-car-accident-lawyer/	ok
Savannah	1893374286187278184	LIVE	2026-07-07	LEARN_MORE	https://rodenlaw.com/es/locations/georgia/savannah/?utm_source=gbp&utm_medium=organic&utm_campaign=es_launch_savannah	ok
Savannah	7930844126448566087	LIVE	2026-06-29	LEARN_MORE	https://rodenlaw.com/blog/southover-mills-b-lane-motorcycle-accident-lawyer/	STALE-generic
Savannah	4982239317405157827	LIVE	2026-06-22	LEARN_MORE	https://rodenlaw.com/blog/garden-city-dean-forest-road-truck-accident-lawyer/	STALE-generic
Savannah	7728432547022157168	LIVE	2026-06-16	LEARN_MORE	https://rodenlaw.com/blog/savannah-veterans-parkway-car-accident-lawyer/	ok
Savannah	3260880814011266593	LIVE	2026-06-10	LEARN_MORE	https://rodenlaw.com/blog/yamacraw-village-pedestrian-accident-lawyer/	ok
Savannah	8304118615853650051	LIVE	2026-06-07	LEARN_MORE	https://rodenlaw.com/blog/garden-city-eden-loop-truck-accident-lawyer/	ok
Savannah	400293595736219391	LIVE	2026-06-04	LEARN_MORE	https://rodenlaw.com/blog/islands-expressway-whitemarsh-island-motorcycle-accident-chatham-county/	STALE-generic
Savannah	7060066446221769437	LIVE	2026-05-20	LEARN_MORE	https://rodenlaw.com/blog/atlantic-coastal-highway-us-17-rideshare-uber-lyft-crash-savannah-intermodal-transit-center/	ok
Savannah	1654567347843621954	LIVE	2026-05-18	LEARN_MORE	https://rodenlaw.com/blog/i-16-port-freight-truck-accident-garden-city-savannah/	ok
Savannah	2170926212230546727	LIVE	2026-05-16	LEARN_MORE	https://rodenlaw.com/blog/eastern-wharf-savannah-pedestrian-bike-accidents/	ok
Savannah	5861963462840126010	LIVE	2026-05-12	CALL		no-link
Savannah	3685899560635532480	LIVE	2026-05-08	CALL		no-link
Savannah	5603181817775548693	LIVE	2026-05-05	CALL		no-link
Savannah	8269670937499836681	LIVE	2026-05-01	CALL		no-link
Savannah	1009725001714179354	LIVE	2026-04-28	CALL		no-link
Savannah	301685064373246140	LIVE	2026-04-24	CALL		no-link
Savannah	5728531110235017136	LIVE	2026-04-21	CALL		no-link
Savannah	6872454951641485099	LIVE	2026-04-17	CALL		no-link
Savannah	4273282804934642038	LIVE	2026-04-14	CALL		no-link
Savannah	680744604797449916	LIVE	2024-08-21	LEARN_MORE	https://rodenlaw.com/blog/liability-in-head-on-collisions-savannah-ga/	ok
Savannah	4090727626878683825	LIVE	2024-08-13	LEARN_MORE	https://rodenlaw.com/blog/how-to-spot-distracted-drivers-ten-signs-savannah-ga/	ok
Savannah	5385284343990058785	LIVE	2024-07-30	LEARN_MORE	https://rodenlaw.com/blog/accepting-a-cash-offer-after-savannah-car-crash/	ok
Savannah	7307848284725759871	LIVE	2024-07-22	LEARN_MORE	https://rodenlaw.com/blog/dangers-of-emotional-driving-in-savannah-ga	ok (www/slash fix)
Savannah	237192342470477412	LIVE	2024-07-12	LEARN_MORE	https://rodenlaw.com/blog/legal-rights-after-memory-loss-savannah-crash/	ok
Savannah	6763077051443809380	LIVE	2024-07-05	LEARN_MORE	https://rodenlaw.com/blog/can-passengers-be-at-fault-for-a-savannah-crash/%20	STALE-generic
Savannah	6882232555168077907	LIVE	2024-06-27	LEARN_MORE	https://rodenlaw.com/blog/proving-back-pain-after-savannah-car-crash/	ok
Savannah	4758036554669370855	LIVE	2024-06-12	LEARN_MORE	https://rodenlaw.com/blog/liability-for-crashes-caused-by-not-using-turn-signal/	ok
Savannah	5077479377071091226	LIVE	2024-06-08	LEARN_MORE	https://rodenlaw.com/blog/rollover-crashes-and-what-they-do-to-your-body/	ok
Savannah	3840531390901222103	LIVE	2024-05-31	LEARN_MORE	https://rodenlaw.com/blog/are-red-light-runners-always-liable-if-they-crash/	ok
