tier	traffic	risk	months_stale	type	locale	byline	url	risk_flags
P1	241	13	0	post	en	y	/blog/compensatory-damages-vs-punitive-damages/	statute,fault,damages,premises,medspecials
P1	168	12	3	resource	en	y	/resources/two-notch-road-truck-accidents-columbia/	statute,fault,sol,damages
P1	114	14	4	post	en	y	/blog/fault-vs-no-fault-car-insurance/	statute,fault,sol,damages,medspecials
P1	62	7	1	practice_area	en	y	/truck-accident-lawyers/charleston-sc/	statute,fault
P1	36	7	3	post	en	y	/blog/south-carolina-statute-of-limitations-personal-injury/	statute,sol
P1	34	14	1	post	en	y	/blog/calculating-compensation-for-whiplash-injuries/	statute,fault,sol,damages,medspecials
P1	24	13	1	practice_area	en	y	/golf-cart-accident-lawyers/north-charleston-sc/	statute,seatbelt,fault,sol
P1	19	12	1	practice_area	en	y	/pedestrian-accident-lawyers/charleston-sc/	statute,fault,sol,damages
P1	17	14	4	practice_area	en	y	/car-accident-lawyers/savannah-ga/	statute,fault,sol,damages,medspecials
P1	17	7	1	practice_area	en	y	/dog-bite-lawyers/charleston-sc/	statute,sol
P1	17	5	5	location	en	-	/locations/georgia/darien/st-simons-island/	sol,damages
P1	14	10	1	practice_area	en	y	/boating-accident-lawyers/columbia-sc/	statute,fault,sol
P1	12	12	1	post	en	y	/blog/garden-city-dean-forest-road-truck-accident-lawyer/	statute,fault,sol,medspecials
P1	12	10	1	practice_area	en	y	/spinal-cord-injury-lawyers/columbia-sc/	statute,fault,sol
P1	12	7	1	post	en	y	/blog/brunswick-i-95-truck-accident-lawyer/	statute,fault
P1	10	10	1	post	en	y	/blog/diminished-value-claims-after-car-accident/	statute,fault,sol
P1	9	10	1	post	en	y	/blog/ashley-phosphate-i-26-south-carolinas-deadliest-intersection/	statute,fault,sol
P1	9	7	4	post	en	y	/blog/can-an-insurance-company-go-against-a-police-report/	statute,fault
P1	9	6	0	post	en	y	/blog/is-workers-compensation-an-employee-benefit/	statute,medspecials
P1	8	9	5	practice_area	en	y	/atv-side-by-side-accident-lawyers/side-by-side-utv-accident/	statute,seatbelt,damages
P1	7	13	1	post	en	y	/blog/value-of-pain-and-suffering/	statute,fault,damages,premises,medspecials
P1	7	12	1	practice_area	en	y	/burn-injury-lawyers/columbia-sc/	statute,fault,sol,premises
P1	7	12	1	practice_area	en	y	/car-accident-lawyers/columbia-sc/	statute,fault,sol,damages
P1	7	10	5	practice_area	en	y	/dog-bite-lawyers/savannah-ga/	statute,fault,sol
