group,path,clicks16m,impr16m,pos16m,clicks28d,impr28d,pos28d,target,target_ok,inbound,es_twin,post_id
pipeline,/blog/eastern-wharf-savannah-pedestrian-bike-accidents/,0,213,9.9,0,6,8.7,/practice-areas/pedestrian-accident-lawyers/,True,1,,4702
pipeline,/blog/rideshare-accident-i-26-tenmile-north-charleston/,1,382,9.5,0,6,8.5,/practice-areas/car-accident-lawyers/,True,0,,4704
pipeline,/blog/i-526-mount-pleasant-wando-bridge-accident/,6,884,8.2,0,14,8.1,/practice-areas/car-accident-lawyers/,True,1,,4707
pipeline,/blog/us-17-truck-accident-broadfield-glynn-county/,31,1440,11.3,1,118,17.1,/practice-areas/truck-accident-lawyers/,True,0,,4709
pipeline,/blog/sunset-boulevard-us-378-lexington-medical-center-accident/,14,986,7.4,0,123,7.9,/practice-areas/car-accident-lawyers/,True,0,,4711
pipeline,/blog/dog-bite-surfside-beach-29575/,0,438,13.6,0,20,24.9,/practice-areas/dog-bite-lawyers/,True,0,,4713
pipeline,/blog/i-16-port-freight-truck-accident-garden-city-savannah/,24,1573,7.9,0,138,16.1,/practice-areas/truck-accident-lawyers/,True,0,,4715
pipeline,/blog/pedestrian-accident-dorchester-road-school-zone-29418-north-charleston/,8,594,7.4,0,35,8.6,/practice-areas/pedestrian-accident-lawyers/,True,0,,4717
pipeline,/blog/atlantic-coastal-highway-us-17-rideshare-uber-lyft-crash-savannah-intermodal-transit-center/,1,389,9.6,0,9,7.8,/practice-areas/car-accident-lawyers/,True,0,,4719
pipeline,/blog/motorcycle-accident-i-95-glynn-county-brunswick-darien/,62,2024,11.8,0,234,18.1,/practice-areas/motorcycle-accident-lawyers/,True,0,,4721
pipeline,/blog/credit-one-stadium-event-day-crashes-daniel-island-beekman-street/,4,417,8.9,1,95,10.2,/practice-areas/car-accident-lawyers/,True,0,,4723
pipeline,/blog/hit-and-run-drunk-driver-crashes-ashley-river-road-sc-61-west-ashley-greenwood-park/,13,484,7.7,1,69,11.2,/practice-areas/car-accident-lawyers/,True,0,,4725
pipeline,/blog/i-77-truck-accident-northeast-columbia-richland-county/,16,1471,8.7,1,204,10.3,/practice-areas/truck-accident-lawyers/,True,0,,4727
pipeline,/blog/drunk-driver-crash-south-kings-highway-us-17-business-surfside-beach-29575/,20,496,7.5,0,39,10.8,/practice-areas/car-accident-lawyers/,True,0,,4729
pipeline,/blog/columbia-airport-expressway-us-378-truck-accident-springdale-lexington-county/,1,227,19.1,0,8,13.5,/practice-areas/truck-accident-lawyers/,True,2,,4731
pipeline,/blog/north-rhett-avenue-truck-accident-hanahan-berkeley-county/,10,583,8.5,1,87,12.0,/practice-areas/truck-accident-lawyers/,True,0,,4733
pipeline,/blog/rifle-range-road-mount-pleasant-car-accident-heritage-park-west/,6,749,9.2,0,88,7.7,/practice-areas/car-accident-lawyers/,True,0,,4735
pipeline,/blog/litchfield-beach-pawleys-island-us-17-car-accident-georgetown-county/,80,2795,6.0,0,247,8.4,/practice-areas/car-accident-lawyers/,True,0,,4738
pipeline,/blog/us-17-i-95-darien-wrongful-death-mcintosh-county/,21,1393,9.1,0,188,7.4,/practice-areas/wrongful-death-lawyers/,True,0,,4742
