page,clicks,impressions,ctr_pct,position
https://rodenlaw.com/,2108,444133,0.475,14.7
https://rodenlaw.com/blog/compensatory-damages-vs-punitive-damages/,857,349782,0.245,9.13
https://rodenlaw.com/practice-areas/savannah/car-accident-lawyers/,12,292971,0.004,12.77
https://rodenlaw.com/practice-areas/charleston/car-accident-lawyers/,14,203091,0.007,21.61
https://rodenlaw.com/blog/category/personal-injury/,1,186102,0.001,74.94
https://rodenlaw.com/locations/south-carolina/charleston/?utm_campaign=gmb_charleston,119,175543,0.068,3.61
https://rodenlaw.com/blog/can-an-insurance-company-go-against-a-police-report/,1669,142999,1.167,7.91
https://rodenlaw.com/practice-areas/charleston/personal-injury-lawyer/,54,137479,0.039,34.14
https://rodenlaw.com/blog/fault-vs-no-fault-car-insurance/,266,130738,0.203,16.5
https://rodenlaw.com/blog/rollover-crashes-and-what-they-do-to-your-body/,508,127416,0.399,11.94
https://rodenlaw.com/blog/value-of-pain-and-suffering/,1109,113967,0.973,22.05
https://rodenlaw.com/blog/calculating-compensation-for-whiplash-injuries/,174,106206,0.164,22.07
https://rodenlaw.com/blog/blunt-force-trauma-after-savannah-car-crash/,161,100809,0.16,10.97
https://rodenlaw.com/practice-areas/charleston/workers-compensation-lawyer/,7,97241,0.007,20.99
https://rodenlaw.com/car-accident-lawyers/charleston-sc/,6,85485,0.007,19.82
https://rodenlaw.com/practice-areas/savannah/workers-compensation-lawyers/,17,84834,0.02,12.2
https://rodenlaw.com/practice-areas/burn-injury-lawyers/,21,80408,0.026,29.9
https://rodenlaw.com/car-accident-lawyers/savannah-ga/,3,72236,0.004,20.05
https://rodenlaw.com/practice-areas/savannah/medical-malpractice-attorneys/,15,70498,0.021,11.5
https://rodenlaw.com/blog/georgia-super-speeder-law/,58,63120,0.092,29.62
https://rodenlaw.com/blog/supporting-a-whiplash-claim/,125,57506,0.217,34.63
https://rodenlaw.com/practice-areas/charleston/truck-accident-lawyers/,3,56359,0.005,16.05
https://rodenlaw.com/practice-areas/savannah/slip-and-fall-attorneys/,6,56086,0.011,11.98
https://rodenlaw.com/blog/claims-against-at-fault-drivers-who-died/,677,54362,1.245,13.32
https://rodenlaw.com/practice-areas/charleston/nursing-home-abuse-attorneys/,0,52934,0,19.15
https://rodenlaw.com/practice-areas/boating-accident-lawyers/,1,52377,0.002,58.83
https://rodenlaw.com/practice-areas/charleston/dog-bite-lawyers/,3,50940,0.006,23.23
https://rodenlaw.com/practice-areas/savannah/personal-injury-lawyers/,2,50500,0.004,30.88
https://rodenlaw.com/practice-areas/workers-compensation-lawyers/savannah-ga/,7,47650,0.015,9.79
https://rodenlaw.com/blog/liability-for-epilepsy-related-car-accidents/,641,46753,1.371,10.44
https://rodenlaw.com/practice-areas/charleston/wrongful-death-lawyers/,0,45882,0,16.72
https://rodenlaw.com/blog/insurance-company-ignoring-demand-letter/,702,45390,1.547,12.6
https://rodenlaw.com/car-accident-lawyers/columbia-sc/,5,45260,0.011,18.92
https://rodenlaw.com/blog/diminished-value-claims-after-car-accident/,53,43957,0.121,26.39
https://rodenlaw.com/blog/are-red-light-runners-always-liable-if-they-crash/,770,43047,1.789,10.54
https://rodenlaw.com/blog/when-does-a-sprained-ankle-become-a-work-injury/,298,39687,0.751,12.9
https://rodenlaw.com/blog/using-uninsured-underinsured-motorist-coverage-in-georgia/,211,38142,0.553,18.31
https://rodenlaw.com/blog/impaired-driving-caused-by-prescription-medications/,48,36941,0.13,8.69
https://rodenlaw.com/practice-areas/charleston/motorcycle-accident-lawyers/,0,35031,0,22.19
https://rodenlaw.com/blog/gym-injury-liability/,294,34374,0.855,16.82
https://rodenlaw.com/blog/contingency-fee-system/,51,33940,0.15,14.66
https://rodenlaw.com/practice-areas/premises-liability-lawyers/,0,33071,0,60.54
https://rodenlaw.com/blog/georgia-statute-of-limitations/,36,32771,0.11,11.04
https://rodenlaw.com/practice-areas/savannah/truck-accident-lawyers/,6,32657,0.018,18.47
https://rodenlaw.com/blog/highway-hypnosis-what-it-is-why-it-is-a-crash-risk/,45,32187,0.14,11.15
https://rodenlaw.com/blog/answering-insurance-questions-after-crash/,194,31948,0.607,11.34
https://rodenlaw.com/medical-malpractice-lawyers/savannah-ga/,6,30479,0.02,16.34
https://rodenlaw.com/class-action/ozempic-lawsuits/,3,30405,0.01,49.93
https://rodenlaw.com/blog/how-car-insurers-use-private-investigators/,137,30328,0.452,16.36
https://rodenlaw.com/blog/independent-medical-exams/,171,29592,0.578,10.15
https://rodenlaw.com/blog/what-happens-if-i-resign-while-on-workers-compensation/,357,29501,1.21,10.78
https://rodenlaw.com/practice-areas/albany/personal-injury-lawyers/,1,29470,0.003,44.28
https://rodenlaw.com/practice-areas/car-accident-lawyers/charleston-sc/,0,29176,0,23.27
https://rodenlaw.com/locations/south-carolina/myrtle-beach/,0,28441,0,40.77
https://rodenlaw.com/practice-areas/pedestrian-accident-lawyers/,1,28386,0.004,48.39
https://rodenlaw.com/workers-compensation-lawyers/charleston-sc/,2,28168,0.007,19.22
https://rodenlaw.com/blog/burn-injury-workers-compensation/,239,26748,0.894,19.6
https://rodenlaw.com/practice-areas/charleston/product-liability-lawyers/,2,26284,0.008,18.11
https://rodenlaw.com/practice-areas/charleston/medical-malpractice-attorney/,3,26174,0.011,48.43
https://rodenlaw.com/practice-areas/charleston/slip-and-fall-lawyer/,0,25963,0,18.86
