page,clicks,impressions,ctr_pct,position
https://rodenlaw.com/locations/south-carolina/charleston/?utm_campaign=gmb_charleston,119,175543,0.068,3.61
https://rodenlaw.com/locations/south-carolina/charleston/?ref=gmb_chs,34,38960,0.087,2.02
https://rodenlaw.com/locations/south-carolina/myrtle-beach/,0,31101,0,41.32
https://rodenlaw.com/locations/georgia/savannah/,12,29436,0.041,31.2
https://rodenlaw.com/locations/south-carolina/columbia/,9,25893,0.035,30.57
https://rodenlaw.com/locations/georgia/savannah/?utm_campaign=gmb_savannah,84,22377,0.375,8.58
https://rodenlaw.com/locations/south-carolina/myrtle-beach/?utm_campaign=gmb_mb,9,15506,0.058,3.85
https://rodenlaw.com/locations/south-carolina/north-charleston/goose-creek/,2,13902,0.014,13.6
https://rodenlaw.com/locations/south-carolina/charleston/,13,10758,0.121,32.26
https://rodenlaw.com/locations/georgia/savannah/?ref=gmb_sav,28,10631,0.263,6.36
https://rodenlaw.com/locations/south-carolina/north-charleston/,14,8118,0.172,13.06
https://rodenlaw.com/locations/georgia/darien/,7,5663,0.124,16.93
https://rodenlaw.com/locations/,11,4798,0.229,5.28
https://rodenlaw.com/locations/south-carolina/,10,4345,0.23,13.46
https://rodenlaw.com/locations/georgia/darien/brunswick/,10,3750,0.267,13.91
https://rodenlaw.com/locations/south-carolina/charleston/downtown-charleston/,16,3316,0.483,22.54
https://rodenlaw.com/locations/georgia/darien/nahunta/,3,2623,0.114,7.01
https://rodenlaw.com/locations/georgia/darien/woodbine/,21,2382,0.882,10.06
https://rodenlaw.com/locations/south-carolina/columbia/blythewood/,0,2188,0,7.05
https://rodenlaw.com/es/locations/south-carolina/charleston/,0,2152,0,22.19
https://rodenlaw.com/locations/south-carolina/myrtle-beach/murrells-inlet/,1,2093,0.048,16.19
https://rodenlaw.com/locations/south-carolina/myrtle-beach/?ref=gmb_mb,0,2068,0,5.46
https://rodenlaw.com/locations/georgia/darien/st-simons-island/,4,2058,0.194,8.78
https://rodenlaw.com/locations/south-carolina/charleston/mount-pleasant/,3,2001,0.15,17.16
https://rodenlaw.com/locations/georgia/,4,1806,0.221,15.28
https://rodenlaw.com/locations/georgia/savannah/downtown-savannah/,8,1764,0.454,28.63
https://rodenlaw.com/locations/south-carolina/myrtle-beach/little-river/,1,1694,0.059,7.96
https://rodenlaw.com/locations/georgia/darien/kingsland/,2,1692,0.118,12.89
https://rodenlaw.com/es/locations/south-carolina/columbia/,3,1576,0.19,30.4
https://rodenlaw.com/es/locations/south-carolina/myrtle-beach/,0,1561,0,12.72
https://rodenlaw.com/locations/south-carolina/columbia/seven-oaks/,0,1451,0,6.96
https://rodenlaw.com/locations/georgia/darien/waycross/,4,1392,0.287,9.86
https://rodenlaw.com/locations/south-carolina/charleston/west-ashley/ashley-river-road/,4,1332,0.3,10.22
https://rodenlaw.com/locations/south-carolina/columbia/columbia/,1,1328,0.075,12.68
https://rodenlaw.com/locations/georgia/darien/folkston/,6,1305,0.46,14.26
https://rodenlaw.com/locations/south-carolina/charleston/west-ashley/,5,1164,0.43,7.97
https://rodenlaw.com/locations/south-carolina/myrtle-beach/conway/,1,1154,0.087,11.66
https://rodenlaw.com/locations/south-carolina/columbia/west-columbia/,2,1036,0.193,12.54
https://rodenlaw.com/locations/georgia/darien/hoboken/,1,949,0.105,9.37
https://rodenlaw.com/locations/south-carolina/columbia/hopkins/,0,936,0,7.93
https://rodenlaw.com/locations/georgia/darien/dock-junction/,0,925,0,9.51
https://rodenlaw.com/locations/south-carolina/north-charleston/?ref=gmb_nchs,2,898,0.223,5.66
https://rodenlaw.com/locations/south-carolina/charleston/james-island/,1,878,0.114,13.2
https://rodenlaw.com/locations/south-carolina/north-charleston/goose-creek/liberty-hall-plantation/,9,857,1.05,12.1
https://rodenlaw.com/locations/south-carolina/charleston/downtown-charleston/king-street-district/,10,840,1.19,10.36
https://rodenlaw.com/locations/south-carolina/columbia/elgin/,2,831,0.241,24.32
https://rodenlaw.com/locations/georgia/savannah/midtown-savannah/,0,810,0,29.96
https://rodenlaw.com/locations/south-carolina/columbia/lexington/,0,803,0,20.88
https://rodenlaw.com/locations/south-carolina/myrtle-beach/conway/historic-district/,0,801,0,9.56
https://rodenlaw.com/locations/georgia/savannah/westside-savannah/,0,774,0,23.14
https://rodenlaw.com/locations/south-carolina/charleston/west-ashley/grand-oaks-plantation/,6,758,0.792,12.65
https://rodenlaw.com/locations/georgia/darien/jesup/,1,756,0.132,10.36
https://rodenlaw.com/locations/south-carolina/myrtle-beach/north-myrtle-beach/,1,749,0.134,16.8
https://rodenlaw.com/locations/south-carolina/columbia/forest-acres/,3,747,0.402,8.91
https://rodenlaw.com/locations/georgia/darien/kings-bay/,1,729,0.137,8.19
https://rodenlaw.com/locations/south-carolina/north-charleston/moncks-corner/,0,683,0,15.97
https://rodenlaw.com/locations/south-carolina/columbia/irmo/,0,679,0,13.16
https://rodenlaw.com/locations/south-carolina/columbia/batesburg-leesville/,1,667,0.15,24.4
https://rodenlaw.com/locations/south-carolina/myrtle-beach/surfside-beach/,2,643,0.311,11.7
https://rodenlaw.com/locations/georgia/darien/alma/,2,630,0.317,9.48
https://rodenlaw.com/locations/south-carolina/columbia/lugoff/,1,629,0.159,9.58
https://rodenlaw.com/locations/south-carolina/myrtle-beach/murrells-inlet/marshwalk/,0,622,0,12.65
https://rodenlaw.com/locations/georgia/savannah/port-wentworth/,1,611,0.164,10.16
https://rodenlaw.com/locations/georgia/darien/darien/,2,584,0.342,9.97
https://rodenlaw.com/locations/georgia/savannah/bloomingdale/,0,582,0,18.18
https://rodenlaw.com/locations/georgia/savannah/statesboro/,1,576,0.174,11.13
https://rodenlaw.com/locations/south-carolina/charleston/west-ashley/citadel-mall-area/,1,570,0.175,13.52
https://rodenlaw.com/locations/georgia/darien/townsend/,0,567,0,12.82
https://rodenlaw.com/es/locations/georgia/savannah/,1,566,0.177,10.92
https://rodenlaw.com/locations/south-carolina/charleston/johns-island/,0,555,0,13.62
https://rodenlaw.com/locations/georgia/savannah/effingham-county/,0,550,0,11.49
https://rodenlaw.com/locations/south-carolina/charleston/downtown-charleston/the-crosstown/,2,548,0.365,15.27
https://rodenlaw.com/locations/south-carolina/charleston/sullivans-island/,0,543,0,12.1
https://rodenlaw.com/locations/georgia/savannah/rincon/town-center/,3,541,0.555,13.48
https://rodenlaw.com/locations/south-carolina/columbia/st-andrews/,0,537,0,11.79
https://rodenlaw.com/locations/south-carolina/myrtle-beach/georgetown/,1,536,0.187,13.51
https://rodenlaw.com/locations/south-carolina/charleston/mount-pleasant/sullivans-island/,2,524,0.382,17.67
https://rodenlaw.com/locations/georgia/darien/ludowici/,0,519,0,9.56
https://rodenlaw.com/locations/georgia/savannah/skidaway-island/,1,517,0.193,22.49
https://rodenlaw.com/locations/south-carolina/columbia/cayce/,1,515,0.194,9.29
https://rodenlaw.com/locations/south-carolina/north-charleston/park-circle/,1,501,0.2,17.62
https://rodenlaw.com/locations/south-carolina/charleston/downtown-charleston/south-of-broad/,1,500,0.2,14.63
https://rodenlaw.com/locations/georgia/darien/eulonia/,0,493,0,13.94
https://rodenlaw.com/locations/south-carolina/myrtle-beach/georgetown/historic-district/,0,463,0,10.33
https://rodenlaw.com/locations/south-carolina/north-charleston/summerville/,3,461,0.651,26.05
https://rodenlaw.com/locations/south-carolina/columbia/oak-grove/,0,461,0,12.14
https://rodenlaw.com/locations/georgia/darien/blackshear/,1,460,0.217,10.79
https://rodenlaw.com/locations/south-carolina/north-charleston/ladson/,1,458,0.218,13.55
https://rodenlaw.com/locations/south-carolina/french-quarter/,1,455,0.22,31.25
https://rodenlaw.com/locations/south-carolina/charleston/west-ashley/byrnes-downs/,1,446,0.224,19.02
https://rodenlaw.com/locations/south-carolina/myrtle-beach/loris/,0,438,0,9.15
https://rodenlaw.com/locations/georgia/darien/?ref=gmb_dar,0,413,0,15.14
https://rodenlaw.com/locations/south-carolina/north-charleston/summerville/historic-district/,4,402,0.995,26.23
https://rodenlaw.com/locations/georgia/darien/jekyll-island/,2,388,0.515,13.75
https://rodenlaw.com/locations/georgia/savannah/rincon/,0,375,0,16.53
https://rodenlaw.com/locations/georgia/savannah/guyton/,0,364,0,12.16
https://rodenlaw.com/locations/georgia/savannah/richmond-hill/city-center/,0,353,0,12.08
https://rodenlaw.com/locations/south-carolina/charleston/hollywood/,0,340,0,20.28
https://rodenlaw.com/locations/south-carolina/columbia/red-bank/,1,339,0.295,9.21
https://rodenlaw.com/locations/georgia/savannah/richmond-hill/,0,337,0,12.9
https://rodenlaw.com/locations/georgia/savannah/hinesville/,1,326,0.307,11.55
https://rodenlaw.com/locations/georgia/darien/white-oak/,0,321,0,11.78
https://rodenlaw.com/locations/south-carolina/myrtle-beach/red-hill/,0,320,0,23.13
https://rodenlaw.com/locations/south-carolina/columbia/dentsville/,0,317,0,11.6
https://rodenlaw.com/locations/south-carolina/charleston/west-ashley/south-windermere/,0,312,0,16.87
https://rodenlaw.com/locations/georgia/savannah/southside-savannah/,0,311,0,14.75
https://rodenlaw.com/locations/south-carolina/charleston/mount-pleasant/shem-creek/,2,306,0.654,19.61
https://rodenlaw.com/locations/georgia/darien/screven/,0,306,0,8.9
https://rodenlaw.com/locations/south-carolina/charleston/awendaw/,0,306,0,28.43
https://rodenlaw.com/locations/south-carolina/charleston/isle-of-palms/,1,302,0.331,9.77
https://rodenlaw.com/locations/south-carolina/north-charleston/hanahan/,0,300,0,22.1
https://rodenlaw.com/locations/south-carolina/park-circle/,0,279,0,25.14
https://rodenlaw.com/locations/georgia/savannah/wilmington-island/town-center/,1,278,0.36,12.55
https://rodenlaw.com/locations/georgia/savannah/isle-of-hope/,0,277,0,12.1
https://rodenlaw.com/locations/south-carolina/charleston/mount-pleasant/rivertowne/,2,275,0.727,28.21
https://rodenlaw.com/locations/georgia/darien/waverly/,0,259,0,10.36
https://rodenlaw.com/locations/georgia/savannah/springfield/,0,259,0,16.9
https://rodenlaw.com/locations/georgia/savannah/thunderbolt/,0,259,0,12.31
https://rodenlaw.com/locations/georgia/savannah/tybee-island/,0,258,0,13.05
https://rodenlaw.com/locations/south-carolina/charleston/edisto-island/,0,258,0,17.78
