page,clicks,impressions,ctr_pct,position
https://rodenlaw.com/locations/south-carolina/charleston/?ref=gmb_chs,29,32931,0.088,2.03
https://rodenlaw.com/locations/south-carolina/columbia/,1,8232,0.012,27.14
https://rodenlaw.com/locations/georgia/savannah/?ref=gmb_sav,21,7640,0.275,6.08
https://rodenlaw.com/locations/georgia/savannah/,0,3689,0,34.91
https://rodenlaw.com/locations/south-carolina/myrtle-beach/,0,2260,0,46.18
https://rodenlaw.com/locations/south-carolina/myrtle-beach/?ref=gmb_mb,0,1692,0,5.58
https://rodenlaw.com/locations/south-carolina/charleston/,1,1446,0.069,47.42
https://rodenlaw.com/locations/georgia/darien/brunswick/,7,1181,0.593,17.26
https://rodenlaw.com/locations/south-carolina/charleston/mount-pleasant/,0,993,0,15.8
https://rodenlaw.com/locations/south-carolina/north-charleston/?ref=gmb_nchs,1,773,0.129,5.64
https://rodenlaw.com/locations/georgia/darien/,0,678,0,14.32
https://rodenlaw.com/es/locations/south-carolina/columbia/,0,622,0,34.86
https://rodenlaw.com/es/locations/south-carolina/charleston/,0,592,0,20.55
https://rodenlaw.com/locations/south-carolina/north-charleston/goose-creek/,0,578,0,25.92
https://rodenlaw.com/es/locations/south-carolina/myrtle-beach/,0,547,0,13.69
https://rodenlaw.com/locations/south-carolina/,0,400,0,15.82
https://rodenlaw.com/locations/georgia/savannah/downtown-savannah/,1,361,0.277,36.93
https://rodenlaw.com/locations/south-carolina/charleston/downtown-charleston/,2,353,0.567,30.91
https://rodenlaw.com/locations/,0,334,0,7.13
https://rodenlaw.com/locations/georgia/darien/?ref=gmb_dar,0,323,0,15.0
https://rodenlaw.com/locations/georgia/darien/st-simons-island/,0,300,0,11.2
https://rodenlaw.com/locations/south-carolina/myrtle-beach/murrells-inlet/,0,256,0,10.93
https://rodenlaw.com/locations/south-carolina/columbia/west-columbia/,1,249,0.402,17.65
https://rodenlaw.com/locations/south-carolina/columbia/lexington/,0,234,0,29.26
https://rodenlaw.com/locations/georgia/,0,219,0,12.98
https://rodenlaw.com/locations/georgia/savannah/midtown-savannah/,0,188,0,37.36
https://rodenlaw.com/locations/south-carolina/myrtle-beach/little-river/,0,187,0,9.95
https://rodenlaw.com/locations/south-carolina/charleston/james-island/,0,168,0,16.23
https://rodenlaw.com/es/locations/georgia/savannah/,1,165,0.606,12.7
https://rodenlaw.com/locations/georgia/savannah/skidaway-island/,0,165,0,26.96
https://rodenlaw.com/locations/georgia/savannah/westside-savannah/,0,162,0,41.69
https://rodenlaw.com/locations/georgia/darien/kingsland/,0,160,0,21.14
https://rodenlaw.com/locations/south-carolina/north-charleston/,2,159,1.258,19.15
https://rodenlaw.com/locations/south-carolina/north-charleston/goose-creek/liberty-hall-plantation/,0,150,0,8.89
https://rodenlaw.com/locations/south-carolina/charleston/downtown-charleston/king-street-district/,0,133,0,7.41
https://rodenlaw.com/locations/georgia/darien/woodbine/,0,129,0,13.47
