page,date,clicks,impr,pos
/,2026-07-20,10,3006,6.67
/,2026-07-21,8,1719,6.24
/,2026-07-22,3,1897,3.99
/,2026-07-23,11,1738,4.11
/,2026-07-24,9,2055,3.75
/,2026-07-25,2,1885,4.15
/,2026-07-26,4,1760,4.56
/,2026-07-27,12,3371,4.34
/,2026-07-28,8,2002,6.71
/,2026-07-29,6,1914,4.71
/,2026-07-30,3,2072,6.13
/,2026-07-31,8,3627,5.4
/,2026-08-01,5,3199,3.87
/,2026-08-02,3,2264,4.39
/,2026-08-03,11,2542,4.74
/,2026-08-04,10,1470,5.98
/,2026-08-05,5,1604,4.63
/,2026-08-06,8,1850,4.86
/,2026-08-07,9,1306,4.1
/,2026-08-08,1,1601,3.81
/,2026-08-09,2,1729,3.97
/,2026-08-10,12,2360,4.37
/,2026-08-11,7,1584,4.36
/,2026-08-12,8,1713,2.49
/,2026-08-13,4,1748,3.21
/,2026-08-14,5,1374,2.99
/,2026-08-15,1,1529,2.15
/,2026-08-16,3,1725,2.51
/,2026-08-17,5,2419,4.21
/,2026-08-18,7,2126,4.21
/,2026-08-19,11,1652,2.58
/,2026-08-20,14,2091,2.44
/,2026-08-21,6,878,3.05
/,2026-08-22,2,41,21
/,2026-08-23,1,29,32.24
/,2026-08-24,2,66,15.73
/,2026-08-25,5,72,13.26
/,2026-08-26,5,83,13.52
/,2026-08-27,7,86,20.71
/,2026-08-28,5,71,15.49
/,2026-08-29,2,57,14.44
/,2026-08-30,1,76,17.58
/,2026-08-31,6,103,19.42
/,2026-09-01,2,71,15.82
/,2026-09-02,7,136,7.76
/,2026-09-03,3,80,12.62
/,2026-09-04,5,77,9.6
/,2026-09-05,2,47,15.77
/,2026-09-06,0,53,27.7
/,2026-09-07,3,55,17.29
/,2026-09-08,7,112,7.61
/,2026-09-09,4,76,11.38
/,2026-09-10,7,87,7.48
/,2026-09-11,6,71,12.51
/,2026-09-12,3,52,18.38
/,2026-09-13,1,51,15.8
/,2026-09-14,4,117,6.4
/,2026-09-15,4,109,13.36
/,2026-09-16,4,51,7.67
/,2026-09-17,8,127,5.37
/,2026-09-18,7,1144,3.79
/,2026-09-19,4,1428,2.19
/,2026-09-20,0,1434,1.75
/,2026-09-21,9,1667,3.54
/blog/blind-spot-accidents/,2026-07-20,0,11,20.82
/blog/blind-spot-accidents/,2026-07-21,0,15,9.47
/blog/blind-spot-accidents/,2026-07-22,0,27,6.52
/blog/blind-spot-accidents/,2026-07-23,0,9,8
/blog/blind-spot-accidents/,2026-07-24,1,11,4.09
/blog/blind-spot-accidents/,2026-07-25,0,9,3.56
/blog/blind-spot-accidents/,2026-07-26,0,14,21.36
/blog/blind-spot-accidents/,2026-07-27,0,10,12.7
/blog/blind-spot-accidents/,2026-07-28,0,17,13.06
/blog/blind-spot-accidents/,2026-07-29,0,18,10.61
/blog/blind-spot-accidents/,2026-07-30,0,21,13.57
