keys,clicks,impressions,ctr,position
usa,7504,2960534,0.25,29.7
gbr,228,99683,0.23,41.4
bra,30,71733,0.04,29.8
aus,209,39813,0.52,41.4
can,340,39800,0.85,20.4
ind,176,38829,0.45,23.3
zaf,341,20140,1.69,16.4
rus,6,14707,0.04,39.7
phl,95,12105,0.78,21.1
ita,5,11009,0.05,33.0
idn,53,10014,0.53,22.0
vnm,29,8767,0.33,33.1
tha,643,7900,8.14,10.9
kor,6,7767,0.08,40.1
mex,36,7594,0.47,21.9
tur,234,6614,3.54,22.9
arg,32,5719,0.56,30.3
deu,15,5542,0.27,29.6
irl,19,4371,0.43,35.7
fra,23,4304,0.53,30.6
esp,9,3742,0.24,31.4
sau,22,3701,0.59,23.2
pak,19,3646,0.52,26.6
col,23,3438,0.67,24.9
nld,17,3327,0.51,27.1
jpn,5,3259,0.15,25.5
ukr,1,3208,0.03,39.3
mys,11,3202,0.34,23.3
nzl,16,2966,0.54,29.9
ecu,4,2811,0.14,31.2
egy,15,2502,0.60,25.4
pol,12,2385,0.50,26.8
bgd,3,2351,0.13,31.9
per,7,2126,0.33,26.4
sgp,26,2111,1.23,21.1
ltu,1,2108,0.05,33.7
nga,20,2102,0.95,20.4
are,9,1906,0.47,24.0
ken,21,1822,1.15,19.0
twn,0,1753,0.00,36.5
irq,7,1714,0.41,24.6
chl,10,1693,0.59,25.1
ven,8,1615,0.50,26.0
swe,14,1370,1.02,19.9
mar,5,1355,0.37,31.3
dza,2,1061,0.19,26.5
isr,5,1056,0.47,25.2
tto,6,1033,0.58,27.1
rou,1,1021,0.10,28.9
dnk,2,998,0.20,30.1
hkg,6,978,0.61,16.2
dom,6,961,0.62,24.5
jam,4,957,0.42,19.3
gha,8,949,0.84,18.9
grc,2,885,0.23,26.9
pry,2,848,0.24,31.7
kaz,0,831,0.00,36.7
pri,11,809,1.36,20.1
jor,12,788,1.52,21.7
ury,2,780,0.26,28.2
fin,3,752,0.40,26.4
bgr,2,744,0.27,31.2
npl,1,731,0.14,29.5
uzb,0,731,0.00,30.3
prt,3,724,0.41,27.6
lva,1,723,0.14,33.4
bel,7,711,0.98,19.2
cze,1,705,0.14,33.9
cri,7,690,1.01,19.6
nor,1,674,0.15,28.3
geo,0,645,0.00,23.5
che,2,641,0.31,24.5
tun,1,635,0.16,30.3
gtm,3,619,0.48,17.3
lka,1,608,0.16,17.1
blr,0,600,0.00,36.2
hun,2,567,0.35,29.8
eth,7,537,1.30,25.1
bol,3,528,0.57,22.3
srb,2,527,0.38,30.6
kwt,5,495,1.01,23.9
irn,2,489,0.41,21.7
mda,0,489,0.00,38.6
aut,3,488,0.61,25.8
brb,2,482,0.41,31.6
cyp,0,480,0.00,35.9
uga,2,454,0.44,13.1
omn,1,432,0.23,21.8
pan,4,430,0.93,23.5
hnd,3,429,0.70,22.9
qat,1,428,0.23,36.6
zwe,3,386,0.78,25.5
slv,7,356,1.97,18.6
zzz,0,354,0.00,35.4
bhs,2,335,0.60,24.7
zmb,3,324,0.93,15.1
alb,1,323,0.31,29.3
khm,0,317,0.00,29.1
lbn,0,314,0.00,22.7
aze,0,312,0.00,28.6
hrv,2,304,0.66,25.6
bhr,2,301,0.66,29.9
nic,0,301,0.00,16.4
svk,0,289,0.00,33.5
pse,2,285,0.70,26.6
tza,1,266,0.38,19.2
bih,0,254,0.00,33.2
chn,2,253,0.79,23.9
arm,2,228,0.88,31.5
nam,2,226,0.88,14.2
syc,0,224,0.00,35.6
est,1,223,0.45,36.5
lby,0,223,0.00,16.5
sen,0,218,0.00,32.9
bwa,3,210,1.43,16.6
blz,0,209,0.00,20.4
guy,0,199,0.00,21.4
mmr,1,184,0.54,22.2
fji,1,179,0.56,9.7
syr,0,179,0.00,27.3
mus,0,175,0.00,18.9
mlt,0,174,0.00,24.4
isl,0,171,0.00,35.1
mkd,0,169,0.00,32.0
svn,0,160,0.00,29.9
moz,0,156,0.00,20.2
rwa,2,148,1.35,18.2
kgz,0,145,0.00,33.2
civ,0,135,0.00,32.1
ago,0,131,0.00,35.1
gum,4,129,3.10,8.0
png,2,128,1.56,6.3
mwi,0,126,0.00,25.7
lux,0,120,0.00,29.9
cub,3,112,2.68,9.3
xkk,0,112,0.00,28.7
mng,1,103,0.97,24.4
