date,ai_impressions
2026-07-25,398
2026-07-26,408
2026-07-27,546
2026-07-28,594
2026-07-29,617
2026-07-30,775
2026-07-31,817
2026-08-01,562
2026-08-02,551
2026-08-03,581
2026-08-04,744
2026-08-05,721
2026-08-06,747
2026-08-07,703
2026-08-08,501
2026-08-09,555
2026-08-10,871
2026-08-11,1327
2026-08-12,2011
2026-08-13,2011
2026-08-14,1327
2026-08-15,719
2026-08-16,731
2026-08-17,1072
2026-08-18,1091
2026-08-19,792
2026-08-20,575
2026-08-21,410
2026-08-22,182
2026-08-23,152
2026-08-24,208
2026-08-25,227
2026-08-26,211
2026-08-27,219
2026-08-28,241
2026-08-29,125
2026-08-30,118
2026-08-31,247
2026-09-01,131
2026-09-02,183
2026-09-03,140
2026-09-04,136
2026-09-05,92
2026-09-06,90
2026-09-07,113
2026-09-08,159
2026-09-09,162
2026-09-10,185
2026-09-11,159
2026-09-12,117
2026-09-13,106
2026-09-14,198
2026-09-15,202
2026-09-16,173
2026-09-17,139
2026-09-18,149
2026-09-19,105
2026-09-20,91
2026-09-21,192
