week,home_clicks,home_impr,home_pos,gbp_param_clicks,gbp_param_impr,gbp_param_pos,pa_city_nested_clicks,pa_city_nested_impr,pa_city_nested_pos,pa_city_flat_clicks,pa_city_flat_impr,pa_city_flat_pos,pa_pillar_clicks,pa_pillar_impr,pa_pillar_pos,locations_clicks,locations_impr,locations_pos,blog_clicks,blog_impr,blog_pos,resources_clicks,resources_impr,resources_pos,es_clicks,es_impr,es_pos,case_results_clicks,case_results_impr,case_results_pos,attorneys_clicks,attorneys_impr,attorneys_pos
2026-03-23,17,3625,51.2,10,9686,3.2,5,24278,17.7,0,19,45.1,0,1987,38.0,3,2381,22.0,113,55706,11.2,0,0,0,0,8,41.2,0,136,6.4,18,327,11.7
2026-03-30,25,2988,40.8,13,16662,3.2,9,36185,16.2,1,1328,14.5,3,2579,33.5,8,5479,18.3,178,72357,10.8,0,0,0,0,11,24.7,0,182,6.9,30,559,11.1
2026-04-06,19,1945,27.9,17,17363,7.3,13,47917,15.8,0,4689,15.5,4,3197,30.9,31,7514,17.0,199,90577,11.2,0,0,0,0,0,0,2,295,9.1,23,785,8.4
2026-04-13,24,5068,47.2,14,15350,4.5,24,52613,17.1,2,9375,17.4,4,3772,32.8,14,8374,20.6,252,98868,11.7,0,0,0,0,0,0,0,227,10.5,31,687,8.7
2026-04-20,35,2950,39.4,17,13335,4.0,23,56844,17.9,2,14094,20.7,1,3807,36.9,16,14476,16.3,299,82648,11.4,3,633,10.7,0,0,0,1,189,6.9,50,799,6.2
2026-04-27,53,12274,5.1,10,7315,3.8,22,45868,16.9,2,19396,22.7,1,5406,40.3,18,11485,18.4,240,86322,12.7,37,5163,8.1,0,0,0,0,320,6.1,47,708,4.7
2026-05-04,35,16817,5.6,1,957,4.2,21,52652,17.0,2,27020,21.6,2,7101,43.7,20,14861,18.5,244,98061,12.9,48,6193,8.0,0,0,0,0,340,4.6,43,686,4.6
2026-05-11,44,16579,5.3,0,575,3.8,30,35151,19.2,5,45157,21.4,3,13726,45.1,13,14228,18.9,276,102921,13.6,22,4463,8.3,0,0,0,0,184,8.9,61,863,6.9
2026-05-18,29,16035,4.6,0,668,3.7,21,26838,20.2,8,53278,20.3,2,18846,38.5,7,11094,18.1,351,109093,15.2,22,3528,8.8,0,0,0,0,159,40.3,70,994,11.5
2026-05-25,39,17762,3.9,0,907,3.1,17,21371,19.9,8,60645,20.1,3,15598,42.5,20,10874,17.8,228,89763,13.2,31,3648,8.3,0,0,0,0,140,5.7,47,1030,10.0
2026-06-01,48,16938,3.2,0,826,3.0,11,14225,19.6,5,56218,18.5,5,12540,43.5,13,10121,17.4,242,79860,12.0,28,3433,8.2,0,0,0,0,122,9.6,46,825,9.4
2026-06-08,48,14422,3.3,0,773,2.3,7,11578,16.6,2,39922,19.3,1,11873,49.1,14,9015,18.4,228,67666,12.7,22,3197,7.9,0,0,0,0,157,9.9,26,882,9.3
2026-06-15,43,13625,6.2,1,531,2.8,6,9782,15.4,2,39815,20.0,0,13458,53.7,13,8637,20.8,171,56922,14.8,16,2487,8.0,0,0,0,0,143,12.4,38,1001,8.1
2026-06-22,45,13403,4.4,0,537,3.1,5,8657,13.7,7,36415,19.8,2,12136,52.5,10,7299,21.3,151,52886,17.9,8,1938,8.1,0,0,0,0,91,9.0,31,676,12.0
2026-06-29,31,17194,7.6,1,750,3.6,5,8933,14.1,5,33006,21.8,0,10537,53.7,7,6034,22.5,106,42133,17.3,27,4389,12.1,0,0,0,1,97,7.4,31,773,14.9
2026-07-06,52,15013,6.8,0,605,2.7,3,6837,15.1,4,32964,20.7,2,14761,52.6,6,5631,24.0,138,40418,17.6,41,3450,12.4,6,2953,20.8,0,125,5.6,32,822,12.1
2026-07-13,46,12375,6.7,0,540,3.3,1,5767,15.8,2,27193,21.3,1,12316,56.9,7,5360,27.5,96,30164,20.0,21,1753,9.0,5,4292,23.8,0,104,6.9,29,633,11.6
2026-07-20,47,14060,4.9,1,576,3.2,5,5068,15.3,1,21671,21.7,2,7311,59.7,1,5205,30.3,90,29943,19.6,34,2300,8.2,2,3677,20.6,0,69,7.2,31,556,9.7
2026-07-27,45,18449,5.0,0,734,3.2,2,6766,14.8,6,30211,21.7,1,8201,57.7,7,7728,24.1,129,39026,20.8,147,14474,7.9,1,3336,18.2,1,118,13.0,35,761,10.5
2026-08-03,46,12102,4.6,0,620,3.2,5,4934,15.3,1,26169,20.8,1,9544,56.8,13,6171,23.1,137,37451,17.8,31,4650,8.6,3,2939,17.9,0,117,4.8,29,752,9.1
2026-08-10,40,12033,3.2,0,395,5.7,1,3055,18.6,3,26502,21.9,0,7760,56.9,10,4211,26.2,133,40904,21.2,11,3436,10.2,1,3114,17.8,0,49,5.6,37,627,12.6
2026-08-17,46,9236,3.6,3,5686,3.6,2,2584,19.5,2,31258,20.4,0,8608,57.9,8,6263,28.2,111,34156,23.5,37,3802,10.4,4,3256,20.7,1,67,10.9,30,711,13.8
2026-08-24,27,511,16.0,23,13070,2.6,3,2706,20.3,3,38390,19.7,0,8418,58.7,4,7075,29.6,83,31157,29.8,39,5852,11.8,3,3413,20.5,0,73,5.6,43,679,13.5
2026-08-31,25,567,14.3,17,17365,3.5,2,2781,21.8,8,44475,17.2,0,8836,52.1,13,8944,27.4,100,34044,23.2,39,6808,8.7,2,4431,20.3,0,74,4.5,24,601,12.9
2026-09-07,31,504,11.8,17,12626,2.9,3,1654,19.0,6,45898,18.7,1,9479,45.0,6,8799,27.4,105,34244,19.1,45,9387,7.7,6,4782,20.0,0,81,4.3,49,729,9.8
2026-09-14,31,4410,3.0,11,8241,3.3,1,820,18.0,5,37557,16.9,0,5879,46.1,4,6479,26.1,121,33661,16.1,57,8205,7.5,0,4432,17.3,0,71,4.8,34,676,7.4
