path,parent,plan,retire_to,post_id,c16,i16,p16,c90,i90,p90,c28,i28,p28,words,unique_words,template,sib_overlap,sib,pillar_overlap,posts_linking_in,title
/class-action-lawyers/afff-firefighting-foam-lawsuits/,class-action-lawyers,keep (original content),,,7,5298,13.5,0,84,22.3,0,36,22.3,2026,2011,0.0,0.0,/class-action-lawyers/paraquat-lawsuit/,0.0,,Aqueous Film-Forming Foam (AFFF)/PFAS Lawsuit Lawyers – Roden Law
/class-action-lawyers/camp-lejeune-lawsuits/,class-action-lawyers,keep (original content),,,0,1112,15.4,0,376,20.2,0,116,13.6,2260,2243,0.0,0.0,/class-action-lawyers/hair-relaxer-cancer-lawsuits/,0.0,,Camp Lejeune Lawsuit Lawyers – Roden Law
/class-action-lawyers/hair-relaxer-cancer-lawsuits/,class-action-lawyers,keep (original content),,,15,4545,19.7,6,1461,22.6,2,461,19.3,1612,1566,0.0,0.01,/class-action-lawyers/paraquat-lawsuit/,0.0,,Hair Relaxer Lawsuit Lawyers – Roden Law
/class-action-lawyers/invokana/,class-action-lawyers,keep (original content),,,0,393,25.6,0,10,50.6,0,0,,1647,1558,0.0,0.03,/class-action-lawyers/uloric/,0.0,,Invokana Lawsuit Lawyers – Roden Law
/class-action-lawyers/ivc-filter/,class-action-lawyers,keep (original content),,,1,696,32.0,1,459,36.2,0,261,33.7,1824,1752,0.0,0.01,/class-action-lawyers/stryker-hip-replacement/,0.0,,IVC Filter Lawsuit Lawyers – Roden Law
/class-action-lawyers/onglyza/,class-action-lawyers,keep (original content),,,0,1028,12.9,0,8,13.6,0,1,11.0,1834,1751,0.0,0.02,/class-action-lawyers/invokana/,0.0,,Onglyza Lawsuit Lawyers – Roden Law
/class-action-lawyers/ozempic-lawsuits/,class-action-lawyers,keep (original content),,,0,1823,15.5,0,61,7.6,0,50,7.3,1495,1447,0.0,0.0,/class-action-lawyers/paraquat-lawsuit/,0.0,,Ozempic Lawsuit Lawyers – Roden Law
/class-action-lawyers/paraquat-lawsuit/,class-action-lawyers,keep (original content),,,2,795,14.0,0,33,15.5,0,6,4.8,1759,1702,0.0,0.01,/class-action-lawyers/hair-relaxer-cancer-lawsuits/,0.0,,Paraquat Lawsuit Lawyers – Roden Law
/class-action-lawyers/roundup/,class-action-lawyers,keep (original content),,,0,514,14.9,0,109,19.6,0,80,20.4,2048,1985,0.0,0.01,/class-action-lawyers/stryker-hip-replacement/,0.0,,Roundup Lawsuit Lawyers – Roden Law
/class-action-lawyers/stryker-hip-replacement/,class-action-lawyers,keep (original content),,,14,9202,23.6,4,5567,24.6,1,1926,21.6,1652,1572,0.0,0.02,/class-action-lawyers/ivc-filter/,0.0,,Stryker Hip Replacement Lawsuit Lawyers – Roden Law
