year,county,city,month,hour,fatals,peds,roadway,land_use,intersection_type,latitude,longitude
2020,HORRY (51),MYRTLE BEACH,1,7,1,1,US-17,Urban,Four-Way Intersection,33.75651944,-78.824988890
2020,HORRY (51),NOT APPLICABLE,1,17,1,0,SR-66,Rural,Not an Intersection,34.03623889,-78.851661110
2020,HORRY (51),NOT APPLICABLE,1,6,1,0,SR-90,Rural,Not an Intersection,33.84903611,-78.840150000
2020,HORRY (51),NOT APPLICABLE,1,1,1,1,SR-544 HWY 544,Urban,Not an Intersection,33.74027222,-79.023413890
2020,HORRY (51),NOT APPLICABLE,1,1,1,0,US-17,Urban,Not an Intersection,33.71367500,-78.899705560
2020,HORRY (51),NOT APPLICABLE,1,9,2,0,SR-9,Rural,T-Intersection,34.00577778,-78.761272220
2020,HORRY (51),NOT APPLICABLE,3,17,1,0,US-701,Rural,Not an Intersection,34.02126389,-78.944536110
2020,HORRY (51),MYRTLE BEACH,3,23,1,0,US-17,Urban,Not an Intersection,33.72190000,-78.848700000
2020,HORRY (51),NOT APPLICABLE,3,20,1,1,SR-9 HWY 9,Urban,Not an Intersection,33.87102778,-78.671477780
2020,HORRY (51),NOT APPLICABLE,4,3,2,0,SR-23,Rural,Not an Intersection,34.10650833,-79.157619440
2020,HORRY (51),NOT APPLICABLE,4,18,1,0,SR-112,Rural,Not an Intersection,33.99329167,-78.862108330
2020,HORRY (51),NOT APPLICABLE,4,21,1,0,CR-LAMBERT RD,Rural,Not an Intersection,33.92398056,-79.137177780
2020,HORRY (51),NOT APPLICABLE,4,22,1,0,SR-905,Rural,Not an Intersection,33.91723333,-78.807991670
2020,HORRY (51),NOT APPLICABLE,5,20,1,0,SR-9,Rural,Not an Intersection,34.03068889,-78.803005560
2020,HORRY (51),NOT APPLICABLE,5,16,1,0,SR-905,Rural,Not an Intersection,33.96118333,-78.686594440
2020,HORRY (51),NOT APPLICABLE,5,20,1,0,CR-WATER TOWER RD,Rural,Not an Intersection,33.83847500,-78.746580560
2020,HORRY (51),NOT APPLICABLE,5,7,1,0,US-501,Urban,Not an Intersection,33.75251111,-78.962708330
2020,HORRY (51),NOT APPLICABLE,5,20,1,1,US-501,Urban,Not an Intersection,33.75753889,-78.967294440
2020,HORRY (51),MYRTLE BEACH,5,7,1,1,SR-556 17 AVE S,Urban,Not an Intersection,33.67564722,-78.905858330
2020,HORRY (51),NOT APPLICABLE,6,7,1,0,US-378,Urban,Not an Intersection,33.84054167,-79.110805560
2020,HORRY (51),NOT APPLICABLE,6,22,1,1,US-17,Urban,Not an Intersection,33.87416944,-78.620438890
2020,HORRY (51),NOT APPLICABLE,6,10,1,0,SR-9,Rural,T-Intersection,33.94439167,-78.735511110
2020,HORRY (51),NOT APPLICABLE,6,21,1,1,SR-34,Rural,Not an Intersection,34.03701944,-79.027980560
2020,HORRY (51),NOT APPLICABLE,6,5,1,0,SR-90,Rural,Not an Intersection,33.85670833,-78.755744440
2020,HORRY (51),NOT APPLICABLE,6,13,1,0,SR-544,Urban,Not an Intersection,33.73588889,-79.024541670
2020,HORRY (51),CONWAY,6,22,1,0,SR-333,Urban,Not an Intersection,33.85318889,-79.045708330
2020,HORRY (51),NOT APPLICABLE,7,0,1,0,SR-347,Rural,Not an Intersection,33.92953611,-78.766266670
2020,HORRY (51),NOT APPLICABLE,7,6,1,1,CR-BAKER ST,Urban,Not an Intersection,33.86905000,-78.625533330
2020,HORRY (51),NOT APPLICABLE,7,0,1,1,US-501,Rural,Not an Intersection,34.02078889,-79.221016670
2020,HORRY (51),NOT APPLICABLE,7,0,1,1,SR-90,Rural,Not an Intersection,33.85601667,-78.758377780
2020,HORRY (51),NOT APPLICABLE,7,7,1,0,SR-992,Urban,Not an Intersection,33.71646667,-78.949430560
2020,HORRY (51),NOT APPLICABLE,8,8,1,0,SR-905,Rural,Not an Intersection,33.90286944,-78.900866670
2020,HORRY (51),NORTH MYRTLE BEACH,8,17,2,0,US-17,Urban,Not an Intersection,33.82480000,-78.684216670
2020,HORRY (51),NOT APPLICABLE,8,7,1,0,SR-905,Rural,Not an Intersection,33.92995278,-78.738161110
2020,HORRY (51),NOT APPLICABLE,8,3,1,0,SR-707,Urban,T-Intersection,33.59895833,-79.061938890
