year,state,corridor,county,fatalities,truck_involved,truck_tractor_involved,land_use,roadway,latitude,longitude
2020,GA,I-95,MCINTOSH (191),1,False,False,Rural,I-95,31.38450000,-81.451794440
2020,GA,I-95,LIBERTY (179),6,False,False,Rural,I-95 PURPLE HEART TRL,31.78298333,-81.377569440
2020,GA,I-95,LIBERTY (179),1,True,True,Rural,I-95,31.76735556,-81.381002780
2020,GA,I-95,CHATHAM (51),1,False,False,Urban,I-95 RAMP,32.16346389,-81.217888890
2020,GA,I-95,CHATHAM (51),1,True,True,Urban,I-95,32.17345556,-81.209761110
2020,GA,I-95,CAMDEN (39),1,True,True,Rural,I-95,30.92771389,-81.686544440
2020,GA,I-95,MCINTOSH (191),1,False,False,Rural,I-95,31.38446667,-81.451791670
2020,GA,I-95,CAMDEN (39),1,True,True,Rural,I-95 HOWARD GILMAN HWY,30.88503611,-81.685766670
2020,GA,I-95,LIBERTY (179),1,True,True,Rural,I-95 SB,31.82168889,-81.359280560
2020,GA,I-95,BRYAN (29),1,True,True,Urban,I-95 N,31.95795278,-81.331050000
2020,GA,I-95,CHATHAM (51),1,True,True,Urban,I-95 N,32.13529167,-81.240016670
2020,GA,I-95,CHATHAM (51),1,True,True,Urban,I-95,32.00656667,-81.281327780
2020,GA,I-95,CHATHAM (51),1,False,False,Urban,I-95 TOM COLEMAN HWY,32.07367500,-81.246147220
2020,GA,I-95,MCINTOSH (191),1,False,False,Rural,I-95,31.48500556,-81.447055560
2020,GA,I-95,CHATHAM (51),2,False,False,Urban,I-95,32.20813333,-81.180852780
2020,GA,I-95,CHATHAM (51),1,True,True,Urban,I-95,32.21511389,-81.174975000
2020,GA,I-95,GLYNN (127),1,False,False,Urban,I-95,31.29662778,-81.483208330
2020,SC,I-26,RICHLAND (79),1,True,True,Urban,I-26,34.14544167,-81.236733330
2020,SC,I-95,DORCHESTER (35),2,True,True,Rural,i-95,33.22845000,-80.590780560
2020,SC,I-26,LEXINGTON (63),2,True,False,Urban,i-26,33.87822222,-81.036644440
2020,SC,I-26,LEXINGTON (63),1,True,True,Urban,I-26,33.96294722,-81.096669440
2020,SC,I-26,DORCHESTER (35),1,False,False,Rural,i-26,33.21446944,-80.415330560
2020,SC,I-26,NEWBERRY (71),1,False,False,Rural,i-26,34.23390556,-81.445430560
2020,SC,I-26,SPARTANBURG (83),1,False,False,Urban,I-26,35.00420556,-82.023761110
2020,SC,I-26,DORCHESTER (35),1,False,False,Rural,I-26,33.22468889,-80.427530560
2020,SC,I-26,NEWBERRY (71),1,True,True,Rural,I-26,34.32990833,-81.607405560
2020,SC,I-26,BERKELEY (15),1,False,False,Urban,I-26,33.03866667,-80.150147220
2020,SC,I-95,CLARENDON (27),1,False,False,Rural,I-95,33.57447778,-80.379216670
2020,SC,I-26,SPARTANBURG (83),1,True,True,Rural,I-26,34.72580833,-81.948886110
2020,SC,I-26,ORANGEBURG (75),1,False,False,Rural,I-26,33.34266944,-80.573966670
2020,SC,I-26,CHARLESTON (19),1,False,False,Urban,I-26,32.98115556,-80.078066670
2020,SC,I-26,COLLETON (29),1,False,False,Rural,I-26,33.00955833,-80.667488890
2020,SC,I-95,COLLETON (29),1,False,False,Rural,I-95,33.03470278,-80.668030560
2020,SC,I-26,BERKELEY (15),1,False,False,Rural,I-26,32.99883056,-80.094080560
2020,SC,I-95,COLLETON (29),1,False,False,Rural,I-95,32.87258611,-80.719616670
2020,SC,I-95,JASPER (53),1,False,False,Rural,I-95,32.46088889,-80.981758330
2020,SC,I-26,CHARLESTON (19),1,False,False,Rural,I-26,32.96175278,-80.072011110
2020,SC,I-26,CHARLESTON (19),1,False,False,Urban,I-26,32.81903056,-79.955108330
2020,SC,I-26,ORANGEBURG (75),1,True,True,Rural,I-26,33.35443611,-80.586297220
2020,SC,I-26,NEWBERRY (71),1,True,False,Rural,I-26,34.25587500,-81.492755560
2020,SC,I-26,RICHLAND (79),1,False,False,Rural,I-26,34.15432778,-81.259150000
2020,SC,I-95,SUMTER (85),1,False,False,Rural,I-95,33.99855000,-80.009038890
2020,SC,I-26,DORCHESTER (35),1,False,False,Rural,I-26,33.29930000,-80.529708330
2020,SC,I-26,BERKELEY (15),2,False,False,Urban,I-26,33.03845278,-80.148580560
2020,SC,I-26,ORANGEBURG (75),5,True,True,Rural,I-26,33.54888056,-80.815466670
2020,SC,I-95,JASPER (53),1,False,False,Rural,I-95,32.24498611,-81.138566670
2020,SC,I-95,FLORENCE (41),1,False,False,Rural,I-95,34.12836667,-79.891716670
2020,SC,I-26,SPARTANBURG (83),1,False,False,Rural,I-26,34.65536944,-81.921800000
2020,SC,I-26,NEWBERRY (71),1,False,False,Rural,I-26,34.25395278,-81.489102780
2020,SC,I-95,DORCHESTER (35),1,True,False,Rural,I-95,33.28331111,-80.563119440
2020,SC,I-26,CHARLESTON (19),1,False,False,Urban,I-26,32.85723333,-79.990877780
2020,SC,I-26,CHARLESTON (19),1,True,False,Urban,I-26,32.84414722,-79.982216670
2020,SC,I-26,RICHLAND (79),2,False,False,Urban,I-26,34.12864444,-81.205333330
2020,SC,I-95,COLLETON (29),2,False,False,Rural,I-95,32.87379167,-80.719308330
